Name,HP,Hit Count,Damage,Agility,XP,Gold
IMP,8,1,4,4,6,6
GrIMP,16,1,8,6,18,18
WOLF,20,1,8,0,6,24
GrWOLF,72,1,14,0,93,22
WrWOLF,68,1,14,6,135,67
FrWOLF,92,1,25,0,402,200
ZOMBIE,20,1,10,0,24,12
GHOUL,48,3,8,6,93,50
GEIST,56,3,8,10,117,117
SPECTER,52,1,20,12,150,150
BONE,10,1,10,0,9,3
RBONE,144,1,26,12,378,378
SPIDER,28,1,10,0,30,8
ARACHNID,64,1,5,12,141,50
CREEP,56,1,17,8,63,15
CRAWL,84,8,1,8,186,200
GARGOYLE,80,4,12,8,132,80
RGOYLE,94,4,10,32,387,387
GARLAND,106,1,15,10,130,250
Lea, 999, 999, 999, 999, 999, 999
